Time,Type
21.74236111,6
21.74236111,6
21.74236111,6
21.74236111,6
21.74236111,6
21.74236111,6
21.74236111,6
21.74236111,6
21.74236111,6
21.74236111,6
21.74236111,6
21.74236111,6
21.7447338,1
21.75005787,1
21.75166667,1
21.75167824,1
21.75291667,3
21.7565625,1
21.76547454,1
21.765625,3
21.76672454,1
21.76876157,3
21.76920139,1
21.77131944,2
21.77228009,2
21.77228009,2
21.77228009,2
21.77228009,2
21.77228009,2
21.77228009,2
21.77334491,3
21.77697917,2
21.77738426,2
21.7781713,2
21.78072917,1
21.78125,1
21.7815162,1
21.78290509,1
21.78359954,3
21.7855787,1
21.78637731,2
21.78722222,2
21.79090278,2
21.79106481,3
21.79136574,3
21.79450231,2
21.79480324,2
21.79570602,2
21.79623843,2
21.79627315,2
21.79627315,2
21.80015046,2
21.80087963,1
21.8024537,1
21.80439815,2
21.80561343,3
21.80561343,3
21.80561343,3
21.80561343,3
21.80561343,3
21.80561343,3
21.80561343,3
21.80561343,3
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.80978009,2
21.81788194,2
21.82305556,3
21.82386574,2
21.8240162,2
21.82469907,2
21.82630787,3
21.82633102,1
21.83054398,2
21.83219907,2
21.85130787,1
21.8606713,2
21.86207176,2
21.86305556,1
21.86483796,2
21.86489583,1
21.87291667,2
21.87534722,1
21.87733796,2
21.87748843,1
21.8819213,1
21.88221065,2
21.88358796,2
21.88428241,2
21.88983796,2
21.89101852,3
21.90159722,1
21.90443287,2
21.91155093,2
21.91553241,2
21.91572917,2
21.92039352,2
21.9231713,2
21.9309838,1
21.94275463,2
21.94375,2
21.94439815,2
21.94481481,2
21.94496528,2
21.94496528,2
21.94496528,2
21.94496528,2
22.03217593,3
22.04194444,2
22.04195602,2
22.04293981,1
22.04443287,1
22.04670139,1
22.04929398,1
22.04983796,2
22.05096065,3
22.0512037,3
22.05288194,2
22.05293981,1
22.07030093,1
22.07261574,3
22.08002315,2
22.08643519,2
22.08686343,1
22.08712963,2
22.09685185,1
22.09869213,2
22.09965278,3
22.10497685,3
22.10643519,3
22.10688657,3
22.10908565,3
22.11797454,3
22.11931713,2
22.1222338,1
22.13061343,3
22.13564815,2
22.14400463,2
22.1552662,1
22.16118056,3
22.16274306,2
22.16366898,1
22.16722222,1
22.16928241,3
22.17983796,1
22.18556713,1
22.18575231,1
22.1896412,2
22.19263889,2
22.19386574,1
22.19702546,3
22.19783565,3
22.20013889,3
22.20443287,3
22.20716435,2
22.21371528,2
22.22262731,2
22.23332176,3
22.24728009,3
22.25202546,2
22.25809028,3
22.25811343,3
22.25958333,3
22.26074074,3
22.27261574,1
22.27987269,1
22.28851852,3
22.28869213,1
22.29608796,1
22.29888889,1
22.30069444,1
22.30277778,3
22.31574074,3
22.32262731,2
22.32887731,3
22.34913194,3
22.36429398,3
22.36482639,3
22.36509259,3
22.36533565,3
22.36545139,3
22.37795139,3
22.37822917,3
22.38344907,3
22.40552083,3
22.4062037,3
22.41291667,3
22.41979167,3
22.41980324,1
22.42353009,3
22.42371528,3
22.42394676,3
22.42541667,3
22.43130787,2
22.4359375,3
22.44122685,3
22.4478588,3
22.44866898,3
22.44981481,3
22.45267361,3
22.45415509,3
22.45802083,3
22.47297454,2
22.47447917,3
22.47459491,3
22.47668981,5
22.4778588,2
22.47892361,3
22.48038194,3
22.48533565,1
22.48894676,3
22.51443287,1
22.51872685,3
22.52228009,2
22.52905093,3
22.53237269,1
22.53302083,3
22.53305556,1
22.53364583,3
22.54302083,1
22.54574074,1
22.54878472,3
22.55008102,1
22.55650463,3
22.55702546,3
22.56263889,3
22.56751157,2
22.56791667,3
22.57331019,3
22.58018519,3
22.58391204,1
22.58894676,3
22.59430556,1
22.59618056,1
22.59797454,3
22.60199074,2
22.60493056,3
22.6069213,1
22.60697917,3
22.61,1
22.61415509,2
22.6166088,2
22.61694444,3
22.61799769,3
22.62818287,1
22.64079861,3
22.64638889,3
22.65217593,1
22.65310185,3
22.65363426,3
22.66579861,3
22.6658912,3
22.66626157,3
22.66675926,3
22.66872685,1
22.67435185,3
22.68298611,1
22.6918287,1
22.69887731,3
22.70561343,3
22.70688657,3
22.70804398,3
22.7080787,3
22.71412037,1
22.71428241,1
22.71467593,3
22.71543981,3
22.72868056,1
22.73200231,3
22.73814815,3
22.75306713,1
22.75734954,3
22.76480324,1
22.7652662,1
22.76760417,1
22.76871528,3
22.7687963,1
22.77396991,1
22.77515046,3
22.77916667,3
22.78454861,3
22.78585648,2
22.79195602,2
22.79353009,1
22.79658565,3
22.79988426,3
22.80074074,1
22.80126157,1
22.80688657,2
22.81111111,3
22.81394676,3
22.81498843,3
22.82228009,3
22.82436343,2
22.82784722,3
22.82799769,3
22.82905093,3
